Tournament,Court,Type
Delray Beach Open by VITACOST.com,Outdoor Hard,250
Antalya Open,Outdoor Hard,250
ASB Classic (Cancelled),Outdoor Hard,250
Murray River Open,Outdoor Hard,250
Great Ocean Road Open,Outdoor Hard,250
ATP Cup,Outdoor Hard,Not relevant
Tata Open Maharashtra (Postponed),Outdoor Hard,250
Australian Open,Outdoor Hard,2000
New York Open (Cancelled),Indoor Hard,250
Rio Open presented by Claro (Postponed),Outdoor Clay,500
Cordoba Open,Outdoor Clay,250
Open Sud de France,Indoor Hard,250
Singapore Tennis Open,Indoor Hard,250
ABN AMRO World Tennis Tournament,Indoor Hard,500
Argentina Open,Outdoor Clay,250
Chile Dove Men+Care Open,Outdoor Clay,250
Open 13 Provence,Indoor Hard,250
Qatar ExxonMobil Open,Outdoor Hard,250
BNP Paribas Open (Postponed),Outdoor Hard,000
Abierto Mexicano Telcel presentado por HSBC,Outdoor Hard,500
Dubai Duty Free Tennis Championships,Outdoor Hard,500
Miami Open presented by Itau,Outdoor Hard,000
Anytech365 Andalucia Open,Outdoor Clay,250
Fayez Sarofim & Co. U.S. Men's Clay Court Championship (Cancelled),Outdoor Clay,250
Grand Prix Hassan II,Outdoor Clay,250
Rolex Monte-Carlo Masters,Outdoor Clay,000
Barcelona Open Banc Sabadell,Outdoor Clay,500
Serbia Open,Outdoor Clay,250
BMW Open by FWU,Outdoor Clay,250
Millennium Estoril Open,Outdoor Clay,250
Mutua Madrid Open,Outdoor Clay,000
Internazionali BNL d'Italia,Outdoor Clay,000
Gonet Geneva Open,Outdoor Clay,250
Open Parc Auvergne-Rhone-Alpes Lyon,Outdoor Clay,250
Roland Garros,Outdoor Clay,2000
Libema Open,Outdoor Grass,250
MercedesCup,Outdoor Grass,250
Fever-Tree Championships,Outdoor Grass,500
NOVENTI OPEN,Outdoor Grass,500
Mallorca Championships,Outdoor Grass,250
Nature Valley International,Outdoor Grass,250
Wimbledon,Outdoor Grass,2000
Hall of Fame Open,Outdoor Grass,250
Hamburg European Open,Outdoor Clay,500
Nordea Open,Outdoor Clay,250
Abierto de Tenis Mifel presentado por Cinemex,Outdoor Hard,250
Plava Laguna Croatia Open Umag,Outdoor Clay,250
Swiss Open Gstaad,Outdoor Clay,250
Tokyo Olympics,Outdoor Hard,Citi Open,Outdoor Hard,500
Rogers Cup,Outdoor Hard,000
Western & Southern Open,Outdoor Hard,000
Winston-Salem Open,Outdoor Hard,250
US Open,Outdoor Hard,2000
Moselle Open,Indoor Hard,250
St. Petersburg Open,Indoor Hard,250
Laver Cup,Indoor Hard,Not relevant
Chengdu Open,Outdoor Hard,250
Sofia Open,Indoor Hard,250
Zhuhai Championships,Outdoor Hard,250
China Open,Outdoor Hard,500
Rakuten Japan Open Tennis Championships,Outdoor Hard,500
Rolex Shanghai Masters,Outdoor Hard,000
European Open,Indoor Hard,250
Rolex Paris Masters,Indoor Hard,000
Next Gen ATP Finals,Indoor Hard,Not relevant
Nitto ATP Finals,Indoor Hard,1500
